Order ID,Restaurant Name,Location,Order Time,Delivery Time,Delivery Duration (min),Pizza Size,Pizza Type,Toppings Count,Distance (km),Traffic Level,Payment Method,Is Peak Hour,Is Weekend,Delivery Efficiency (min/km),Topping Density,Order Month,Payment Category,Estimated Duration (min),Delay (min),Is Delayed,Pizza Complexity,Traffic Impact,Order Hour,Restaurant Avg Time
ORD001,Domino'S,"New York, Ny",2024-01-05 18:30:00,2024-01-05 18:45:00,17.5,Medium,Veg,3.0,2.5,Medium,Card,True,False,6.0,1.1833333333333336,1-01-01,Online,6.0,9.0,False,6,2,18,30.25943396226415
ORD002,Papa John'S,"Los Angeles, Ca",2024-02-14 20:00:00,2024-02-14 20:25:00,25.0,Large,Non-Veg,4.0,5.0,High,Wallet,True,False,5.0,0.8,1-02-01,Online,12.0,13.0,False,12,3,20,28.18627450980392
ORD003,Little Caesars,"Chicago, Il",2024-03-21 12:15:00,2024-03-21 12:35:00,20.0,Small,Vegan,2.0,3.0,Low,Upi,False,False,6.666666666666667,0.6666666666666666,1-03-01,Online,7.199999999999999,12.8,False,2,1,15,28.84422110552764
ORD004,Pizza Hut,"Miami, Fl",2024-04-10 19:45:00,2024-04-10 20:10:00,25.0,Xl,Cheese Burst,5.0,4.5,Medium,Cash,True,False,5.555555555555555,1.111111111111111,1-04-01,Offline,10.8,14.2,False,20,2,19,29.94845360824742
ORD005,Marco'S Pizza,"Dallas, Tx",2024-05-05 13:00:00,2024-05-05 13:20:00,20.0,Medium,Non-Veg,3.0,2.0,High,Card,False,True,10.0,1.1833333333333336,1-05-01,Online,4.8,15.2,False,6,3,15,30.28645833333333
ORD006,Domino'S,"New York, Ny",2024-01-06 19:00:00,2024-01-06 19:20:00,20.0,Medium,Non-Veg,3.0,3.0,High,Card,True,True,6.666666666666667,1.0,1-01-01,Online,7.199999999999999,12.8,False,6,3,19,30.25943396226415
ORD007,Papa John'S,"Los Angeles, Ca",2024-01-07 20:15:00,2024-01-07 20:40:00,25.0,Large,Veg,4.0,4.5,Medium,Upi,True,True,5.555555555555555,0.8888888888888888,1-01-01,Online,10.8,14.2,False,12,2,20,28.18627450980392
ORD008,Little Caesars,"Chicago, Il",2024-01-08 18:30:00,2024-01-08 18:50:00,20.0,Small,Vegan,2.0,2.0,Low,Cash,True,False,10.0,1.0,1-01-01,Offline,4.8,15.2,False,2,1,18,28.84422110552764
ORD009,Pizza Hut,"Miami, Fl",2024-01-09 19:45:00,2024-01-09 20:10:00,25.0,Xl,Cheese Burst,5.0,5.0,High,Wallet,True,False,5.0,1.0,1-01-01,Online,12.0,13.0,False,20,3,19,29.94845360824742
ORD010,Marco'S Pizza,"Dallas, Tx",2024-01-10 13:00:00,2024-01-10 13:20:00,20.0,Medium,Non-Veg,3.0,3.5,Medium,Card,False,False,5.714285714285714,0.8571428571428571,1-01-01,Online,8.4,11.6,False,6,2,15,30.28645833333333
ORD011,Domino'S,"San Francisco, Ca",2024-01-11 17:30:00,2024-01-11 17:50:00,20.0,Large,Veg,4.0,4.0,Low,Upi,False,False,5.0,1.0,1-01-01,Online,9.6,10.4,False,12,1,17,30.25943396226415
ORD012,Papa John'S,"Houston, Tx",2024-01-12 19:00:00,2024-01-12 19:25:00,25.0,Medium,Non-Veg,3.0,3.0,Medium,Cash,True,False,8.333333333333334,1.0,1-01-01,Offline,7.199999999999999,17.8,False,6,2,19,28.18627450980392
ORD013,Little Caesars,"Phoenix, Az",2024-01-13 18:15:00,2024-01-13 18:35:00,20.0,Small,Vegan,2.0,2.5,High,Wallet,True,True,8.0,0.8,1-01-01,Online,6.0,14.0,False,2,3,18,28.84422110552764
ORD014,Pizza Hut,"Atlanta, Ga",2024-01-14 20:30:00,2024-01-14 20:55:00,25.0,Xl,Cheese Burst,5.0,4.0,Low,Card,True,True,6.25,1.1833333333333336,1-01-01,Online,9.6,15.4,False,20,1,20,29.94845360824742
ORD015,Marco'S Pizza,"Seattle, Wa",2024-01-15 14:00:00,2024-01-15 14:20:00,20.0,Medium,Non-Veg,3.0,3.0,Medium,Upi,False,False,6.666666666666667,1.0,1-01-01,Online,7.199999999999999,12.8,False,6,2,15,30.28645833333333
ORD016,Domino'S,"Denver, Co",2024-01-16 19:45:00,2024-01-16 20:10:00,25.0,Large,Veg,4.0,4.5,High,Cash,True,False,5.555555555555555,0.8888888888888888,1-01-01,Offline,10.8,14.2,False,12,3,19,30.25943396226415
ORD017,Papa John'S,"Boston, Ma",2024-01-17 18:30:00,2024-01-17 18:55:00,25.0,Small,Vegan,2.0,2.0,Low,Wallet,True,False,10.357142857142858,1.0,1-01-01,Online,4.8,20.2,False,2,1,18,28.18627450980392
ORD018,Little Caesars,"Dallas, Tx",2024-01-18 20:00:00,2024-01-18 20:20:00,20.0,Medium,Non-Veg,3.0,3.5,Medium,Card,True,False,5.714285714285714,0.8571428571428571,1-01-01,Online,8.4,11.6,False,6,2,20,28.84422110552764
