Order ID,Restaurant Name,Location,Order Time,Delivery Time,Delivery Duration (min),Pizza Size,Pizza Type,Toppings Count,Distance (km),Traffic Level,Payment Method,Is Peak Hour,Is Weekend,Delivery Efficiency (min/km),Topping Density,Order Month,Payment Category,Estimated Duration (min),Delay (min),Is Delayed,Pizza Complexity,Traffic Impact,Order Hour,Restaurant Avg Time
ORD001,Domino's,"New York, NY",2024-01-05 18:30:00,2024-01-05 18:45:00,15,Medium,Veg,3,2.5,Medium,Card,True,False,6.0,1.2,January,Online,6.0,9.0,False,6,2,18,30.25943396226415
ORD002,Papa John's,"Los Angeles, CA",2024-02-14 20:00:00,2024-02-14 20:25:00,25,Large,Non-Veg,4,5.0,High,Wallet,True,False,5.0,0.8,February,Online,12.0,13.0,False,12,3,20,28.18627450980392
ORD003,Little Caesars,"Chicago, IL",2024-03-21 12:15:00,2024-03-21 12:35:00,20,Small,Vegan,2,3.0,Low,UPI,False,False,6.666666666666667,0.6666666666666666,March,Online,7.199999999999999,12.8,False,2,1,12,28.84422110552764
ORD004,Pizza Hut,"Miami, FL",2024-04-10 19:45:00,2024-04-10 20:10:00,25,XL,Cheese Burst,5,4.5,Medium,Cash,True,False,5.555555555555555,1.111111111111111,April,Offline,10.8,14.2,False,20,2,19,29.94845360824742
ORD005,Marco's Pizza,"Dallas, TX",2024-05-05 13:00:00,2024-05-05 13:20:00,20,Medium,Non-Veg,3,2.0,High,Card,False,True,10.0,1.5,May,Online,4.8,15.2,False,6,3,13,30.28645833333333
ORD006,Domino's,"New York, NY",2024-01-06 19:00:00,2024-01-06 19:20:00,20,Medium,Non-Veg,3,3.0,High,Card,True,True,6.666666666666667,1.0,January,Online,7.199999999999999,12.8,False,6,3,19,30.25943396226415
ORD007,Papa John's,"Los Angeles, CA",2024-01-07 20:15:00,2024-01-07 20:40:00,25,Large,Veg,4,4.5,Medium,UPI,True,True,5.555555555555555,0.8888888888888888,January,Online,10.8,14.2,False,12,2,20,28.18627450980392
ORD008,Little Caesars,"Chicago, IL",2024-01-08 18:30:00,2024-01-08 18:50:00,20,Small,Vegan,2,2.0,Low,Cash,True,False,10.0,1.0,January,Offline,4.8,15.2,False,2,1,18,28.84422110552764
ORD009,Pizza Hut,"Miami, FL",2024-01-09 19:45:00,2024-01-09 20:10:00,25,XL,Cheese Burst,5,5.0,High,Wallet,True,False,5.0,1.0,January,Online,12.0,13.0,False,20,3,19,29.94845360824742
ORD010,Marco's Pizza,"Dallas, TX",2024-01-10 13:00:00,2024-01-10 13:20:00,20,Medium,Non-Veg,3,3.5,Medium,Card,False,False,5.714285714285714,0.8571428571428571,January,Online,8.4,11.6,False,6,2,13,30.28645833333333
ORD011,Domino's,"San Francisco, CA",2024-01-11 17:30:00,2024-01-11 17:50:00,20,Large,Veg,4,4.0,Low,UPI,False,False,5.0,1.0,January,Online,9.6,10.4,False,12,1,17,30.25943396226415
ORD012,Papa John's,"Houston, TX",2024-01-12 19:00:00,2024-01-12 19:25:00,25,Medium,Non-Veg,3,3.0,Medium,Cash,True,False,8.333333333333334,1.0,January,Offline,7.199999999999999,17.8,False,6,2,19,28.18627450980392
ORD013,Little Caesars,"Phoenix, AZ",2024-01-13 18:15:00,2024-01-13 18:35:00,20,Small,Vegan,2,2.5,High,Wallet,True,True,8.0,0.8,January,Online,6.0,14.0,False,2,3,18,28.84422110552764
ORD014,Pizza Hut,"Atlanta, GA",2024-01-14 20:30:00,2024-01-14 20:55:00,25,XL,Cheese Burst,5,4.0,Low,Card,True,True,6.25,1.25,January,Online,9.6,15.4,False,20,1,20,29.94845360824742
ORD015,Marco's Pizza,"Seattle, WA",2024-01-15 14:00:00,2024-01-15 14:20:00,20,Medium,Non-Veg,3,3.0,Medium,UPI,False,False,6.666666666666667,1.0,January,Online,7.199999999999999,12.8,False,6,2,14,30.28645833333333
ORD016,Domino's,"Denver, CO",2024-01-16 19:45:00,2024-01-16 20:10:00,25,Large,Veg,4,4.5,High,Cash,True,False,5.555555555555555,0.8888888888888888,January,Offline,10.8,14.2,False,12,3,19,30.25943396226415
ORD017,Papa John's,"Boston, MA",2024-01-17 18:30:00,2024-01-17 18:55:00,25,Small,Vegan,2,2.0,Low,Wallet,True,False,12.5,1.0,January,Online,4.8,20.2,False,2,1,18,28.18627450980392
ORD018,Little Caesars,"Dallas, TX",2024-01-18 20:00:00,2024-01-18 20:20:00,20,Medium,Non-Veg,3,3.5,Medium,Card,True,False,5.714285714285714,0.8571428571428571,January,Online,8.4,11.6,False,6,2,20,28.84422110552764
ORD019,Pizza Hut,"Los Angeles, CA",2024-01-19 19:15:00,2024-01-19 19:40:00,25,XL,Cheese Burst,5,4.0,High,UPI,True,False,6.25,1.25,January,Online,9.6,15.4,False,20,3,19,29.94845360824742
ORD020,Marco's Pizza,"Chicago, IL",2024-01-20 13:30:00,2024-01-20 13:50:00,20,Medium,Non-Veg,3,3.0,Low,Cash,False,True,6.666666666666667,1.0,January,Offline,7.199999999999999,12.8,False,6,1,13,30.28645833333333
ORD021,Domino's,"Miami, FL",2024-01-21 18:45:00,2024-01-21 19:10:00,25,Large,Veg,4,4.5,Medium,Wallet,True,True,5.555555555555555,0.8888888888888888,January,Online,10.8,14.2,False,12,2,18,30.25943396226415
ORD022,Papa John's,"Dallas, TX",2024-01-22 20:00:00,2024-01-22 20:25:00,25,Small,Vegan,2,2.0,High,Card,True,False,12.5,1.0,January,Online,4.8,20.2,False,2,3,20,28.18627450980392
ORD023,Little Caesars,"Houston, TX",2024-01-23 19:30:00,2024-01-23 19:50:00,20,Medium,Non-Veg,3,3.5,Low,UPI,True,False,5.714285714285714,0.8571428571428571,January,Online,8.4,11.6,False,6,1,19,28.84422110552764
ORD024,Pizza Hut,"Phoenix, AZ",2024-01-24 18:15:00,2024-01-24 18:40:00,25,XL,Cheese Burst,5,4.0,Medium,Cash,True,False,6.25,1.25,January,Offline,9.6,15.4,False,20,2,18,29.94845360824742
ORD025,Marco's Pizza,"Atlanta, GA",2024-01-25 14:30:00,2024-01-25 14:50:00,20,Medium,Non-Veg,3,3.0,High,Wallet,False,False,6.666666666666667,1.0,January,Online,7.199999999999999,12.8,False,6,3,14,30.28645833333333
ORD026,Domino's,"Seattle, WA",2024-01-26 20:00:00,2024-01-26 20:25:00,25,Large,Veg,4,4.5,Low,Card,True,False,5.555555555555555,0.8888888888888888,January,Online,10.8,14.2,False,12,1,20,30.25943396226415
ORD027,Papa John's,"Denver, CO",2024-01-27 19:15:00,2024-01-27 19:40:00,25,Small,Vegan,2,2.0,Medium,UPI,True,True,12.5,1.0,January,Online,4.8,20.2,False,2,2,19,28.18627450980392
ORD028,Little Caesars,"Boston, MA",2024-01-28 18:30:00,2024-01-28 18:50:00,20,Medium,Non-Veg,3,3.5,High,Cash,True,True,5.714285714285714,0.8571428571428571,January,Offline,8.4,11.6,False,6,3,18,28.84422110552764
ORD029,Pizza Hut,"Chicago, IL",2024-01-29 20:00:00,2024-01-29 20:25:00,25,XL,Cheese Burst,5,4.0,Low,Wallet,True,False,6.25,1.25,January,Online,9.6,15.4,False,20,1,20,29.94845360824742
ORD030,Marco's Pizza,"Miami, FL",2024-01-30 13:15:00,2024-01-30 13:35:00,20,Medium,Non-Veg,3,3.0,Medium,Card,False,False,6.666666666666667,1.0,January,Online,7.199999999999999,12.8,False,6,2,13,30.28645833333333
ORD031,Domino's,"Los Angeles, CA",2024-02-01 19:45:00,2024-02-01 20:10:00,25,Large,Veg,4,4.5,High,UPI,True,False,5.555555555555555,0.8888888888888888,February,Online,10.8,14.2,False,12,3,19,30.25943396226415
ORD032,Papa John's,"Phoenix, AZ",2024-02-02 18:00:00,2024-02-02 18:25:00,25,Small,Vegan,2,2.0,Low,Cash,True,False,12.5,1.0,February,Offline,4.8,20.2,False,2,1,18,28.18627450980392
ORD033,Little Caesars,"Atlanta, GA",2024-02-03 20:30:00,2024-02-03 20:55:00,25,Medium,Non-Veg,3,3.5,Medium,Wallet,True,True,7.142857142857143,0.8571428571428571,February,Online,8.4,16.6,False,6,2,20,28.84422110552764
ORD034,Pizza Hut,"Dallas, TX",2024-02-04 14:15:00,2024-02-04 14:35:00,20,XL,Cheese Burst,5,4.0,High,Card,False,True,5.0,1.25,February,Online,9.6,10.4,False,20,3,14,29.94845360824742
